catDiff,Lab 1,Lab 2, Variant Count
Pathogenic - Likely pathogenic,Counsyl,Sharing Clinical Reports Project (SCRP), 13
Benign - Uncertain significance,Invitae,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 9
Benign - Uncertain significance,Sharing Clinical Reports Project (SCRP),GeneDx, 7
Likely benign - Uncertain significance,Ambry Genetics,Emory Genetics Laboratory, 7
Likely pathogenic - Pathogenic,Sharing Clinical Reports Project (SCRP),Breast Cancer Information Core (BIC) (BRCA1), 5
Uncertain significance - Benign,Counsyl,Biesecker Laboratory - ClinSeq Project  NHGRI, 3
Pathogenic - Benign,Counsyl,OMIM, 2
Benign - Likely benign,Biesecker Laboratory - ClinSeq Project  NHGRI,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 3
Benign - Likely benign,Biesecker Laboratory - ClinSeq Project  NHGRI,Counsyl, 2
Benign - Uncertain significance,Sharing Clinical Reports Project (SCRP),Biesecker Laboratory - ClinSeq Project  NHGRI, 8
Uncertain significance - Likely benign,GeneDx,Ambry Genetics, 10
Uncertain significance - Benign,Emory Genetics Laboratory,Biesecker Laboratory - ClinSeq Project  NHGRI, 8
Pathogenic - Likely pathogenic,Pathway Genomics,Sharing Clinical Reports Project (SCRP), 1
Uncertain significance - Likely benign,Invitae,Breast Cancer Information Core (BIC) (BRCA1), 2
Pathogenic - Benign,Evidence-based Network for the Interpretation of Germline Mutant Alleles (ENIGMA),Sharing Clinical Reports Project (SCRP), 1
Pathogenic - Uncertain significance,GeneDx,Sharing Clinical Reports Project (SCRP), 1
Pathogenic - Benign,Ambry Genetics,Sharing Clinical Reports Project (SCRP), 1
Pathogenic - Likely benign,Invitae,Sharing Clinical Reports Project (SCRP), 1
Pathogenic - Likely benign,Ambry Genetics,OMIM, 6
Benign - Likely benign,Breast Cancer Information Core (BIC) (BRCA1),Counsyl, 1
Likely benign - Benign,Sharing Clinical Reports Project (SCRP),GeneDx, 1
Likely benign - Uncertain significance,GeneDx,Breast Cancer Information Core (BIC) (BRCA1), 1
Uncertain significance - Pathogenic,Sharing Clinical Reports Project (SCRP),Ambry Genetics, 2
Uncertain significance - Pathogenic,Sharing Clinical Reports Project (SCRP),Breast Cancer Information Core (BIC) (BRCA1), 1
Likely benign - Benign,Sharing Clinical Reports Project (SCRP),Invitae, 13
Likely benign - Benign,Evidence-based Network for the Interpretation of Germline Mutant Alleles (ENIGMA),Invitae, 11
Pathogenic - Likely pathogenic,Ambry Genetics,Breast Cancer Information Core (BIC) (BRCA1), 3
Pathogenic - Uncertain significance,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario,Sharing Clinical Reports Project (SCRP), 1
Pathogenic - Likely pathogenic,GeneDx,Sharing Clinical Reports Project (SCRP), 3
Likely benign - Uncertain significance,Biesecker Laboratory - ClinSeq Project  NHGRI,Breast Cancer Information Core (BIC) (BRCA1), 1
Uncertain significance - Pathogenic,Invitae,Counsyl, 1
Uncertain significance - Pathogenic,Invitae,Breast Cancer Information Core (BIC) (BRCA1), 1
Pathogenic - Likely pathogenic,Invitae,Sharing Clinical Reports Project (SCRP), 3
Pathogenic - Likely pathogenic,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario,Sharing Clinical Reports Project (SCRP), 1
Pathogenic - Likely pathogenic,Pathway Genomics,GeneDx, 1
Likely benign - Uncertain significance,Ambry Genetics,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 5
Uncertain significance - Likely benign,Counsyl,Breast Cancer Information Core (BIC) (BRCA1), 1
Pathogenic - Likely pathogenic,Sharing Clinical Reports Project (SCRP),OMIM, 2
Pathogenic - Likely pathogenic,Division of Human Genetics Innsbruck Medical University Innsbruck,OMIM, 1
Likely pathogenic - Pathogenic,Sharing Clinical Reports Project (SCRP),Evidence-based Network for the Interpretation of Germline Mutant Alleles (ENIGMA), 3
Likely pathogenic - Uncertain significance,Breast Cancer Information Core (BIC) (BRCA1),Invitae, 1
Uncertain significance - Likely benign,Sharing Clinical Reports Project (SCRP),Breast Cancer Information Core (BIC) (BRCA1), 1
Benign - Likely benign,Sharing Clinical Reports Project (SCRP),Pathway Genomics, 9
Benign - Likely benign,Breast Cancer Information Core (BIC) (BRCA1),Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 1
Likely benign - Uncertain significance,Invitae,CSER_CC_NCGL; University of Washington Medical Center, 1
Uncertain significance - Likely benign,Ambry Genetics,Breast Cancer Information Core (BIC) (BRCA1), 1
Uncertain significance - Benign,Evidence-based Network for the Interpretation of Germline Mutant Alleles (ENIGMA),Breast Cancer Information Core (BIC) (BRCA2), 10
Uncertain significance - Benign,Emory Genetics Laboratory,Breast Cancer Information Core (BIC) (BRCA2), 2
Uncertain significance - Benign,Counsyl,Breast Cancer Information Core (BIC) (BRCA2), 2
Uncertain significance - Likely benign,Ambry Genetics,Breast Cancer Information Core (BIC) (BRCA2), 1
Benign - Uncertain significance,Sharing Clinical Reports Project (SCRP),Breast Cancer Information Core (BIC) (BRCA2), 71
Benign - Likely benign,Sharing Clinical Reports Project (SCRP),Emory Genetics Laboratory, 4
Likely benign - Uncertain significance,Sharing Clinical Reports Project (SCRP),Invitae, 3
Likely benign - Uncertain significance,Sharing Clinical Reports Project (SCRP),Breast Cancer Information Core (BIC) (BRCA2), 37
Benign - Likely benign,Breast Cancer Information Core (BIC) (BRCA2),Pathway Genomics, 1
Benign - Uncertain significance,Invitae,Breast Cancer Information Core (BIC) (BRCA2), 33
Benign - Uncertain significance,Sharing Clinical Reports Project (SCRP),Invitae, 6
Likely benign - Uncertain significance,Invitae,Emory Genetics Laboratory, 5
Likely benign - Uncertain significance,Invitae,Breast Cancer Information Core (BIC) (BRCA2), 20
Likely benign - Benign,Pathway Genomics,Invitae, 1
Benign - Uncertain significance,Biesecker Laboratory - ClinSeq Project  NHGRI,Breast Cancer Information Core (BIC) (BRCA2), 5
Benign - Likely benign,Breast Cancer Information Core (BIC) (BRCA2),Ambry Genetics, 2
Likely benign - Uncertain significance,GeneDx,Sharing Clinical Reports Project (SCRP), 2
Likely benign - Uncertain significance,Biesecker Laboratory - ClinSeq Project  NHGRI,CSER_CC_NCGL; University of Washington Medical Center, 3
Likely benign - Benign,Breast Cancer Information Core (BIC) (BRCA2),Biesecker Laboratory - ClinSeq Project  NHGRI, 5
Likely benign - Benign,Breast Cancer Information Core (BIC) (BRCA2),Invitae, 6
Benign - Uncertain significance,Breast Cancer Information Core (BIC) (BRCA2),GeneDx, 1
Uncertain significance - Likely benign,GeneDx,Breast Cancer Information Core (BIC) (BRCA2), 2
Uncertain significance - Likely benign,Counsyl,Sharing Clinical Reports Project (SCRP), 4
Benign - Uncertain significance,Invitae,Emory Genetics Laboratory, 3
Benign - Likely benign,Invitae,Sharing Clinical Reports Project (SCRP), 1
Likely benign - Benign,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario,Invitae, 1
Uncertain significance - Benign,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario,Biesecker Laboratory - ClinSeq Project  NHGRI, 1
Uncertain significance - Likely benign,Invitae,Sharing Clinical Reports Project (SCRP), 3
Uncertain significance - Benign,Ambry Genetics,Sharing Clinical Reports Project (SCRP), 3
Uncertain significance - Likely benign,Emory Genetics Laboratory,Biesecker Laboratory - ClinSeq Project  NHGRI, 4
Likely benign - Benign,Counsyl,Invitae, 1
Uncertain significance - Benign,Evidence-based Network for the Interpretation of Germline Mutant Alleles (ENIGMA),Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 1
Uncertain significance - Pathogenic,Invitae,Sharing Clinical Reports Project (SCRP), 1
Likely benign - Uncertain significance,Invitae,GeneDx, 6
Likely benign - Uncertain significance,Invitae,Sharing Clinical Reports Project (SCRP), 1
Pathogenic - Uncertain significance,Breast Cancer Information Core (BIC) (BRCA2),OMIM, 2
Likely pathogenic - Uncertain significance,Breast Cancer Information Core (BIC) (BRCA2),Sharing Clinical Reports Project (SCRP), 4
Likely benign - Benign,Evidence-based Network for the Interpretation of Germline Mutant Alleles (ENIGMA),Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 1
Likely benign - Uncertain significance,Sharing Clinical Reports Project (SCRP),Biesecker Laboratory - ClinSeq Project  NHGRI, 1
Pathogenic - Uncertain significance,Ambry Genetics,Sharing Clinical Reports Project (SCRP), 2
Benign - Likely benign,Sharing Clinical Reports Project (SCRP),Biesecker Laboratory - ClinSeq Project  NHGRI, 4
Pathogenic - Likely pathogenic,CSER_CC_NCGL; University of Washington Medical Center,Sharing Clinical Reports Project (SCRP), 1
Uncertain significance - Benign,Ambry Genetics,Breast Cancer Information Core (BIC) (BRCA2), 1
Pathogenic - Uncertain significance,Breast Cancer Information Core (BIC) (BRCA2),Sharing Clinical Reports Project (SCRP), 7
Benign - Uncertain significance,Invitae,Sharing Clinical Reports Project (SCRP), 2
Pathogenic - Uncertain significance,Emory Genetics Laboratory,Sharing Clinical Reports Project (SCRP), 2
Pathogenic - Likely pathogenic,Counsyl,Breast Cancer Information Core (BIC) (BRCA2), 1
Likely benign - Benign,Evidence-based Network for the Interpretation of Germline Mutant Alleles (ENIGMA),Ambry Genetics, 1
Likely pathogenic - Uncertain significance,Ambry Genetics,Sharing Clinical Reports Project (SCRP), 1
Likely pathogenic - Uncertain significance,GeneDx,Sharing Clinical Reports Project (SCRP), 1
Likely pathogenic - Uncertain significance,Emory Genetics Laboratory,Sharing Clinical Reports Project (SCRP), 1
Likely benign - Benign,Pathway Genomics,Biesecker Laboratory - ClinSeq Project  NHGRI, 1
Likely benign - Benign,Counsyl,Biesecker Laboratory - ClinSeq Project  NHGRI, 1
Uncertain significance - Pathogenic,OMIM,Ambry Genetics, 1
Uncertain significance - Pathogenic,OMIM,Sharing Clinical Reports Project (SCRP), 1
Uncertain significance - Pathogenic,OMIM,Evidence-based Network for the Interpretation of Germline Mutant Alleles (ENIGMA), 1
Pathogenic - Uncertain significance,Breast Cancer Information Core (BIC) (BRCA2),Invitae, 3
Likely benign - Benign,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario,Biesecker Laboratory - ClinSeq Project  NHGRI, 1
Uncertain significance - Likely pathogenic,Breast Cancer Information Core (BIC) (BRCA2),Ambry Genetics, 1
Pathogenic - Likely pathogenic,Ambry Genetics,Sharing Clinical Reports Project (SCRP), 2
Pathogenic - Likely pathogenic,GeneDx,Invitae, 1
Pathogenic - Likely pathogenic,Ambry Genetics,Invitae, 1
Uncertain significance - Likely pathogenic,Sharing Clinical Reports Project (SCRP),Division of Human Genetics Innsbruck Medical University Innsbruck, 1
Uncertain significance - Likely benign,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario,Breast Cancer Information Core (BIC) (BRCA2), 1
Likely pathogenic - Pathogenic,Sharing Clinical Reports Project (SCRP),GeneDx, 2
Likely pathogenic - Pathogenic,Sharing Clinical Reports Project (SCRP),Breast Cancer Information Core (BIC) (BRCA2), 2
Likely pathogenic - Pathogenic,Sharing Clinical Reports Project (SCRP),Division of Human Genetics Innsbruck Medical University Innsbruck, 1
Likely benign - Benign,Sharing Clinical Reports Project (SCRP),Ambry Genetics, 1
Benign - Likely pathogenic,Sharing Clinical Reports Project (SCRP),GeneDx, 1
Benign - Likely pathogenic,Sharing Clinical Reports Project (SCRP),Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 1
Likely pathogenic - Pathogenic,Sharing Clinical Reports Project (SCRP),Ambry Genetics, 1
Benign - Uncertain significance,Invitae,GeneDx, 1
Pathogenic - Likely pathogenic,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario,Invitae, 1
Benign - Likely benign,ARUP,Counsyl, 1
Pathogenic - Likely pathogenic,Counsyl,ARUP, 7
Pathogenic - Uncertain significance,Emory Genetics Laboratory,ARUP, 8
Pathogenic - Likely benign,GeneDx,ARUP, 1
Likely pathogenic - Uncertain significance,Emory Genetics Laboratory,ARUP, 1
Benign - Uncertain significance,ARUP,Emory Genetics Laboratory, 2
Pathogenic - Likely pathogenic,Emory Genetics Laboratory,ARUP, 5
Uncertain significance - Pathogenic,Emory Genetics Laboratory,Molecular Genetics Diagnostic Laboratory Detroit Medical Center University Laboratories, 1
Pathogenic - Likely pathogenic,GeneDx,Molecular Genetics Diagnostic Laboratory Detroit Medical Center University Laboratories, 1
Uncertain significance - Pathogenic,OMIM,GeneReviews, 13
Likely benign - Benign,Emory Genetics Laboratory,UniProtKB/Swiss-Prot, 1
Likely pathogenic - Pathogenic,Blueprint Genetics,GeneDx, 6
Likely benign - Uncertain significance,GeneDx,Biesecker Laboratory - ClinSeq Project  NHGRI, 4
Likely pathogenic - Pathogenic,Emory Genetics Laboratory,GeneReviews, 1
Uncertain significance - Likely benign,Biesecker Laboratory - ClinSeq Project  NHGRI,Emory Genetics Laboratory, 3
Uncertain significance - Likely benign,GeneDx,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 3
Uncertain significance - Likely benign,CSER_CC_NCGL; University of Washington Medical Center,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 7
Benign - Likely benign,Emory Genetics Laboratory,Biesecker Laboratory - ClinSeq Project  NHGRI, 1
Uncertain significance - Likely benign,Blueprint Genetics,Emory Genetics Laboratory, 1
Pathogenic - Uncertain significance,CSER_CC_NCGL; University of Washington Medical Center,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 34
Pathogenic - Uncertain significance,Emory Genetics Laboratory,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 5
Likely pathogenic - Likely benign,GeneDx,LabCorp, 7
Pathogenic - Uncertain significance,Biesecker Laboratory - ClinSeq Project  NHGRI,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 1
Pathogenic - Likely pathogenic,Division of Human Genetics Children's Hospital of Philadelphia,OMIM, 3
Pathogenic - Likely pathogenic,Richard Lifton Laboratory  Yale University School of Medicine,OMIM, 11
Uncertain significance - Pathogenic,CSER_CC_NCGL; University of Washington Medical Center,GeneReviews, 2
Uncertain significance - Likely benign,Biesecker Laboratory - ClinSeq Project  NHGRI,CSER_CC_NCGL; University of Washington Medical Center, 5
Uncertain significance - Likely pathogenic,Blueprint Genetics,GeneDx, 3
Uncertain significance - Likely benign,GeneDx,CSER_CC_NCGL; University of Washington Medical Center, 5
Pathogenic - Likely pathogenic,Blueprint Genetics,OMIM, 11
Likely pathogenic - Pathogenic,George Lab Vanderbilt University,OMIM, 5
Pathogenic - Likely benign,Blueprint Genetics,OMIM, 3
Likely benign - Likely pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,GeneDx, 1
Likely pathogenic - Benign,Emory Genetics Laboratory,LabCorp, 3
Pathogenic - Benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,OMIM, 13
Pathogenic - Uncertain significance,Blueprint Genetics,OMIM, 9
Pathogenic - Likely benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,OMIM, 8
Benign - Likely benign,Genetic Services Laboratory  University of Chicago,Invitae, 1
Likely pathogenic - Benign,Emory Genetics Laboratory,Juha Muilu Group; Institute for Molecular Medicine Finland (FIMM), 1
Benign - Likely benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Invitae, 1
Pathogenic - Benign,Pathway Genomics,OMIM, 1
Uncertain significance - Pathogenic,Ambry Genetics,GeneDx, 3
Pathogenic - Likely pathogenic,CSER_CC_NCGL; University of Washington Medical Center,OMIM, 14
Benign - Likely benign,GeneDx,Invitae, 2
Uncertain significance - Benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,OMIM, 4
Benign - Likely benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Department of Ophthalmology and Visual Sciences Kyoto University, 4
Benign - Likely benign,Genetic Services Laboratory  University of Chicago,RettBASE, 1
Uncertain significance - Likely benign,RettBASE,GeneDx, 2
Uncertain significance - Pathogenic,RettBASE,Genetic Services Laboratory  University of Chicago, 1
Pathogenic - Likely pathogenic,RettBASE,GeneDx, 1
Likely pathogenic - Pathogenic,RettBASE,GeneDx, 3
Pathogenic - Likely pathogenic,RettBASE,OMIM, 1
Benign - Uncertain significance,RettBASE,Emory Genetics Laboratory, 1
Uncertain significance - Likely benign,Genetic Services Laboratory  University of Chicago,GeneDx, 3
Likely benign - Uncertain significance,RettBASE,GeneDx, 1
Likely pathogenic - Pathogenic,Emory Genetics Laboratory,RettBASE, 1
Likely pathogenic - Pathogenic,Emory Genetics Laboratory,GeneDx, 4
Likely pathogenic - Pathogenic,RettBASE,Genetic Services Laboratory  University of Chicago, 1
Likely pathogenic - Pathogenic,Genetic Services Laboratory  University of Chicago,RettBASE, 2
Pathogenic - Uncertain significance,RettBASE,OMIM, 6
Uncertain significance - Likely benign,Genetic Services Laboratory  University of Chicago,Emory Genetics Laboratory, 6
Pathogenic - Uncertain significance,Ambry Genetics,GeneDx, 4
Likely pathogenic - Uncertain significance,Ambry Genetics,Invitae, 1
Uncertain significance - Pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Emory Genetics Laboratory, 5
Likely pathogenic - Pathogenic,LabCorp,CFTR2, 5
Benign - Likely benign,OMIM,Genetic Services Laboratory  University of Chicago, 6
Pathogenic - Uncertain significance,LabCorp,OMIM, 9
Likely benign - Uncertain significance,LabCorp,Emory Genetics Laboratory, 4
Likely benign - Pathogenic,LabCorp,GeneReviews, 1
Uncertain significance - Pathogenic,LabCorp,Emory Genetics Laboratory, 2
Uncertain significance - Pathogenic,LabCorp,CFTR2, 1
Likely pathogenic - Pathogenic,Counsyl,CFTR2, 1
Uncertain significance - Likely benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Emory Genetics Laboratory, 8
Likely benign - Benign,Genetic Services Laboratory  University of Chicago,Emory Genetics Laboratory, 5
Pathogenic - Uncertain significance,GeneDx,Ambry Genetics, 1
Pathogenic - Likely pathogenic,Pathway Genomics,OMIM, 1
Pathogenic - Uncertain significance,GeneReviews,OMIM, 6
Uncertain significance - Benign,GeneDx,Genetic Services Laboratory  University of Chicago, 16
Uncertain significance - Likely benign,GeneDx,Genetic Services Laboratory  University of Chicago, 12
Uncertain significance - Pathogenic,OMIM,GOLD service  Hunter New England Health, 1
Likely pathogenic - Pathogenic,Guangxi Key laboratory of Metabolic Diseases Research; Guilin 181st Hospital,GeneReviews, 1
Pathogenic - Uncertain significance,Martin Pollak Beth Israel Deaconess Medical Center  Dept. of Nephrology,OMIM, 1
Likely pathogenic - Likely benign,Counsyl,Juha Muilu Group; Institute for Molecular Medicine Finland (FIMM), 1
Likely pathogenic - Uncertain significance,GeneDx,Juha Muilu Group; Institute for Molecular Medicine Finland (FIMM), 1
Likely pathogenic - Pathogenic,Juha Muilu Group; Institute for Molecular Medicine Finland (FIMM),GeneDx, 4
Uncertain significance - Likely pathogenic,Genetic Services Laboratory  University of Chicago,GeneDx, 2
Benign - Likely benign,Emory Genetics Laboratory,GeneDx, 16
Pathogenic - Likely pathogenic,Counsyl,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 13
Benign - Uncertain significance,Emory Genetics Laboratory,GeneDx, 15
Uncertain significance - Benign,GeneDx,LabCorp, 29
Pathogenic - Likely pathogenic,GeneDx,Collagen Diagnostic Laboratory University of Washington Medical Center, 2
Likely benign - Uncertain significance,Emory Genetics Laboratory,GeneDx, 6
Pathogenic - Likely pathogenic,Blueprint Genetics,Collagen Diagnostic Laboratory University of Washington Medical Center, 1
Likely benign - Uncertain significance,CSER_CC_NCGL; University of Washington Medical Center,GeneDx, 6
Pathogenic - Benign,GeneDx,GeneReviews, 4
Benign - Likely benign,GeneDx,Blueprint Genetics, 1
Likely benign - Uncertain significance,Blueprint Genetics,Emory Genetics Laboratory, 1
Likely benign - Likely pathogenic,Emory Genetics Laboratory,GeneDx, 2
Likely pathogenic - Benign,Emory Genetics Laboratory,Genetic Services Laboratory  University of Chicago, 1
Pathogenic - Benign,Genetic Services Laboratory  University of Chicago,GeneReviews, 1
Pathogenic - Uncertain significance,OMIM,GeneReviews, 1
Likely pathogenic - Pathogenic,Juha Muilu Group; Institute for Molecular Medicine Finland (FIMM),GeneReviews, 8
Pathogenic - Uncertain significance,Science for Life laboratory Medical Epidemiology and Biostatistics,OMIM, 1
Pathogenic - Uncertain significance,Richard Lifton Laboratory  Yale University School of Medicine,OMIM, 1
Pathogenic - Uncertain significance,Eye Genetics Research Group Children’s Medical Research Institute,OMIM, 2
Likely benign - Benign,OMIM,LabCorp, 2
Likely benign - Benign,GeneReviews,LabCorp, 1
Pathogenic - Likely benign,Department of Ophthalmology and Visual Sciences Kyoto University,GeneReviews, 2
Benign - Likely pathogenic,GeneDx,Developmental Genetics Unit; King Faisal Specialist Hospital and Research Center, 1
Uncertain significance - Likely pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Blueprint Genetics, 11
Uncertain significance - Likely pathogenic,Biesecker Laboratory - ClinSeq Project  NHGRI,GeneDx, 3
Uncertain significance - Pathogenic,CSER_CC_NCGL; University of Washington Medical Center,GeneDx, 17
Uncertain significance - Benign,Génétique et pathophysiologie de maladies neurodéveloppementales et épileptogènes  Institut de génétique et de biologie moléculaire et cellulaire,GeneDx, 1
Uncertain significance - Benign,Emory Genetics Laboratory,Invitae, 1
Pathogenic - Uncertain significance,Department of Genetics  Reproduction and Fetal Medicine.,Institute of Biomedicine of Seville (IBIS), University Hospital Virgen del Rocío/CSIC/University of Seville.,OMIM, 1
Uncertain significance - Likely benign,Blueprint Genetics,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 13
Likely pathogenic - Likely benign,Biesecker Laboratory - ClinSeq Project  NHGRI,LabCorp, 2
Likely pathogenic - Likely benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,LabCorp, 4
Likely pathogenic - Likely benign,Blueprint Genetics,LabCorp, 1
Likely pathogenic - Uncertain significance,GeneDx,Blueprint Genetics, 2
Uncertain significance - Benign,Blueprint Genetics,OMIM, 1
Uncertain significance - Benign,Emory Genetics Laboratory,OMIM, 4
Uncertain significance - Likely benign,CSER_CC_NCGL; University of Washington Medical Center,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 3
Likely pathogenic - Pathogenic,CSER_CC_NCGL; University of Washington Medical Center,GeneDx, 3
Likely pathogenic - Uncertain significance,Biesecker Laboratory - ClinSeq Project  NHGRI,LabCorp, 3
Uncertain significance - Likely benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,LabCorp, 10
Pathogenic - Uncertain significance,GeneDx,LabCorp, 1
Pathogenic - Likely benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,LabCorp, 1
Pathogenic - Uncertain significance,CSER_CC_NCGL; University of Washington Medical Center,LabCorp, 1
Pathogenic - Likely benign,Biesecker Laboratory - ClinSeq Project  NHGRI,LabCorp, 1
Likely benign - Pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,GeneDx, 2
Uncertain significance - Likely pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 24
Uncertain significance - Likely benign,GeneDx,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 1
Likely benign - Uncertain significance,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 44
Benign - Likely benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 29
Likely benign - Uncertain significance,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,CSER_CC_NCGL; University of Washington Medical Center, 12
Likely benign - Uncertain significance,LabCorp,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 2
Likely pathogenic - Pathogenic,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario,GeneDx, 2
Benign - Uncertain significance,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 12
Uncertain significance - Benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,LabCorp, 13
Uncertain significance - Benign,Biesecker Laboratory - ClinSeq Project  NHGRI,LabCorp, 4
Likely benign - Benign,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario,LabCorp, 3
Likely benign - Uncertain significance,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Blueprint Genetics, 9
Pathogenic - Uncertain significance,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario,OMIM, 10
Pathogenic - Likely benign,CSER_CC_NCGL; University of Washington Medical Center,OMIM, 10
Likely benign - Uncertain significance,LabCorp,Blueprint Genetics, 2
Likely benign - Uncertain significance,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Biesecker Laboratory - ClinSeq Project  NHGRI, 20
Likely pathogenic - Pathogenic,Center for Genetic Medicine Research Children's National Medical Center,Molecular Neurogenomics lab VIB Department of Molecular Genetics; University of Antwerp, 1
Likely pathogenic - Pathogenic,Department of Mental Retardation and Birth Defect Research National Institute of Neuroscience  National Center of Neurology and Psychiatry,OMIM, 2
Uncertain significance - Benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Genomic Research Center  Shahid Beheshti University of Medical Sciences, 2
Likely pathogenic - Benign,Emory Genetics Laboratory,Developmental Genetics Unit; King Faisal Specialist Hospital and Research Center, 1
Uncertain significance - Benign,Emory Genetics Laboratory,CSER_CC_NCGL; University of Washington Medical Center, 1
Uncertain significance - Benign,GeneReviews,OMIM, 3
Benign - Likely benign,GeneReviews,GeneDx, 3
Likely benign - Uncertain significance,Genetic Services Laboratory  University of Chicago,GeneReviews, 1
Likely benign - Benign,Claritas Genomics,Genetic Services Laboratory  University of Chicago, 9
Pathogenic - Uncertain significance,Claritas Genomics,OMIM, 1
Likely pathogenic - Pathogenic,Akiko Shimamura Lab Fred Hutchinson Cancer Research Center,OMIM, 1
Likely pathogenic - Pathogenic,Genetic Services Laboratory  University of Chicago,OMIM, 1
Likely pathogenic - Pathogenic,Genetic Services Laboratory  University of Chicago,GeneReviews, 1
Pathogenic - Uncertain significance,ClinVar Staff  National Center for Biotechnology Information (NCBI),OMIM, 6
Pathogenic - Likely pathogenic,Department of Hematology University of Health Sciences,Invitae, 1
Pathogenic - Uncertain significance,OMIM,Department of Neuroscience  King Faisal Specialist Hospital, 1
Uncertain significance - Likely pathogenic,CSER_CC_NCGL; University of Washington Medical Center,GeneDx, 4
Likely pathogenic - Pathogenic,LabCorp,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 3
Likely benign - Likely pathogenic,LabCorp,GeneDx, 1
Uncertain significance - Pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Blueprint Genetics, 1
Likely pathogenic - Likely benign,GeneDx,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 1
Likely pathogenic - Pathogenic,LabCorp,OMIM, 2
Likely pathogenic - Pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Blueprint Genetics, 5
Likely pathogenic - Pathogenic,LabCorp,GeneDx, 11
Uncertain significance - Likely pathogenic,OMIM,LabCorp, 2
Uncertain significance - Pathogenic,OMIM,GeneDx, 2
Pathogenic - Likely pathogenic,Chan Lab Boston Children's Hospital,OMIM, 2
